species	genus	subgenus	type	typeref	common	common(s)	range	rangecites	realm	status	NCBITaxonID	EOLID	iNaturalist	GBIF
coarctata	Tubuca	Tubuca	Gelasimus coarctatus	MilneEdwards1852	Compressed Fiddler Crab	English|Compressed Fiddler Crab;Japanese|リュウキュウシオマネキ;English|Orange-clawed Fiddler Crab	Ryukus Islands (Japan), Taiwan, Philippines, Indonesia, Australia (Queensland), New Caledonia, Fiji	Crane1975;George1982;vonHagen1989;Shih2016;Fukui1989;Huang1989;Geist2012;Michie2015;Poupin2010	Indo-West Pacific Realm	extant	53297	3118995	555988	4382590
coloradensis	Leptuca	.	Gelasimus coloradensis	Rathbun1893	Painted Fiddler Crab	English|Painted Fiddler Crab	Gulf of California, Mexico	Crane1975;Brusca1980;Garth1980;Green1980;VillalobosHiriart1989	Eastern Pacific Realm	extant	.	3118945	739136	4382551
crassipes	Paraleptuca	.	Gelasimus crassipes	Adams1848	Thick-legged Fiddler Crab	English|Thick-legged Fiddler Crab;English|Estuary Fiddler Crab;Japanese|ベニシオマネキ;Chinese|粗腿招潮蟹;Malay|Kěpiting Dēlimah;Chinese|粗腿绿眼招潮蟹	common throughout central and western Pacific islands from French Polynesia through parts of Indonesia and the Philippines; Taiwan; Ryuku Islands (Japan); eastern Australia	Crane1975;Barnes2010;Poupin2010.1;Shih2012;Shih2016	Indo-West Pacific Realm	extant	399438	3118986	555982	4382523
crenulata	Leptuca	.	Gelasimus crenulatus	Lockington1877.2	Crenulated Fiddler Crab	English|Crenulated Fiddler Crab;English|Notched Fiddler Crab;English|Mexican Fiddler Crab;English|California Fiddler Crab;English|Southern California Fiddler Crab	southern California, USA (Santa Barbara) to Manzanillo, Mexico	Crane1975;Brusca1980;Green1980;Garth1980;Hendrickx1984;Hubbard1989;LeijaTristan1990;Naiditch2001;Neuffer2001	Eastern Pacific Realm	extant	.	1021897	555971	2221547
cryptica	Austruca	Austruca	Uca cryptica	Naderloo2010	Cryptic Fiddler Crab	English|Cryptic Fiddler Crab	scattered populations identified in central Indonesia (western Flores and Sulawesi) and the Philippines (Mindanao, Cebu, and Negros)	Naderloo2010;Michie2015	Indo-West Pacific Realm	extant	1407796	19662284	739137	5971797
cumulanta	Leptuca	.	Uca cumulanta	Crane1943.2	Heaping Fiddler Crab	English|Heaping Fiddler Crab	Jamaica; Colombia through northern Brazil; southern Brazil	Thurman2013.1	Western Atlantic Realm	extant	1239966	1037775	739138	2221535
dampieri	Gelasimus	Gelasimus	Uca vocans dampieri	Crane1975	Dampier's Fiddler Crab	English|Australian Calling Fiddler Crab;English|Dampier's Fiddler Crab	northwestern and northern Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	696550	3118938	739139	4382561
deichmanni	Leptuca	.	Uca deichmanni	Rathbun1935.1	Deichmann's Fiddler Crab	English|Deichmann's Fiddler Crab	Costa Rica to northern Colombia	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	53292	3118947	739140	4382512
demani	Tubuca	Tubuca	Uca demani	Ortmann1897	Demanding Fiddler Crab	English|Demanding Fiddler Crab	southern Philippines, central Indonesia	Crane1975;Barnes2010	Indo-West Pacific Realm	extant	.	3118996	739141	4382576
dorotheae	Leptuca	.	Uca dorotheae	vonHagen1968.2	Dorothy's Fiddler Crab	English|Dorothy's Fiddler Crab	Costa Rica to northern Peru	Crane1975;vonPrahl1982;Shih2016.2	Eastern Pacific Realm	extant	.	3118948	739142	4382497
dussumieri	Tubuca	Tubuca	Gelasimus dussumieri	MilneEdwards1852	Dussumier's Fiddler Crab	English|Dussumier's Fiddler Crab;Chinese|屠氏招潮蟹;Chinese|紅肢元;Japanese|ヤエヤマシオマネキ;English|Sunburst Fiddler Crab	Australia (Queensland); New Guinea; Indonesia; Philippines; Taiwan; Ryuku Islands (Japan)	Crane1975;George1982;Salmon1984.1;vonHagen1989;Barnes2010;Shih2010.2;Shih2016	Indo-West Pacific Realm	extant	.	2981564	739143	4382547
ecuadoriensis	Minuca	.	Uca ecuadoriensis	Maccagno1928	Pacific Hairback Fiddler Crab	English|Pacific Hairback Fiddler Crab;English|Ecuadorian Fiddler Crab	Mexico to northern Peru	Crane1975;Hendrickx1979;Hendrickx1984;Brusca1980;vonPrahl1982	Eastern Pacific Realm	extant	659861	3118973	739144	4382503
elegans	Tubuca	Australuca	Uca elegans	George1982	Elegant Fiddler Crab	English|Elegant Fiddler Crab	northern and western Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	.	3118931	739145	4382577
excisa	Gelasimus	Gelasimus	Uca Marionis var. excisa	Nobili1906.3	Eastern Calling Fiddler Crab	English|Pacific Calling Fiddler Crab;English|Eastern Calling Fiddler Crab;English|Melanesian Fiddler Crab	Fiji, Wallis, Samoa	Shih2010.1;Poupin2010.2	Indo-West Pacific Realm	extant	696547	3118940	739146	4382528
festae	Leptuca	.	Uca festae	Nobili1901.3	Festa's Fiddler Crab	English|Festa's Fiddler Crab	El Salvador to Ecuador	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	.	3118949	739147	4382592
flammula	Tubuca	Tubuca	Uca flammula	Crane1975	Flame-backed Fiddler Crab	English|Flame-backed Fiddler Crab	western and northern Australia; Papua (Indonesia)	Crane1975;George1982;vonHagen1989;Fransen1997	Indo-West Pacific Realm	extant	.	3118997	739148	4382555
forcipata	Tubuca	Tubuca	Gelasimus forcipatus	Adams1848	Forceps Fiddler Crab	English|Forceps Fiddler Crab	Malaysia, Thailand, western Indonesia, western Philippines	Crane1975;Pratiwi2018	Indo-West Pacific Realm	extant	.	3118998	739149	4382538
formosensis	Xeruca	.	Uca formosensis	Rathbun1921.2	Taiwanese Fiddler Crab	English|Taiwanese Fiddler Crab;English|Formosan Fiddler Crab;Chinese|熹閼招潮蟹;Chinese|臺灣招潮蟹;Japanese|タイワンシホマネキ	Taiwan	Shih1999.1	Indo-West Pacific Realm	extant	.	3118999	739150	4382517
galapagensis	Minuca	.	Uca galapagensis	Rathbun1902.3	Galapagos Fiddler Crab	English|Galapagos Fiddler Crab	Costa Rica to Ecuador; Galápagos Islands	Crane1975;vonPrahl1982;Barnwell1985	Eastern Pacific Realm	extant	659862	3118974	739151	4382583
hamlini	Minuca	.	Uca hamlini	Rathbun1926.1	#	#	USA (California: Los Angeles)	Rathbun1926.1	Pliocene	fossil	.	42294058	.	.
helleri	Leptuca	.	Uca helleri	Rathbun1902.3	Heller's Fiddler Crab	English|Heller's Fiddler Crab	Galápagos Islands	Crane1975	Eastern Pacific Realm	extant	.	3118950	739152	4382578
herradurensis	Minuca	.	Uca galapagensis herradurensis	Bott1954	La Herradura Fiddler Crab	English|La Herradura Fiddler Crab	El Salvador to Panama	Crane1975;Hendrickx1979;Barnwell1985	Eastern Pacific Realm	extant	659863	3118975	739153	4382562
hesperiae	Gelasimus	Gelasimus	Uca vocans hesperiae	Crane1975	Western Calling Fiddler Crab	English|Western Calling Fiddler Crab	coastline of the Indian Ocean from South Africa to western Thailand; western Sumatra	Crane1975;Poupin2018;Fransen1997;Jaroensutasinee2002	Indo-West Pacific Realm	extant	696548	3118939	739154	4382544
heteropleura	Uca	Uca	Gelasimus heteropleurus	Smith1870.2	American Red Fiddler Crab	English|American Red Fiddler Crab	El Salvador to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	53314	3119004	67454	4382543
hirsutimanus	Tubuca	Australuca	Uca hirsutimanus	George1982	Hairy-handed Fiddler Crab	English|Hairy-handed Fiddler Crab	northern and western Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	.	3118932	739155	4382556
inaequalis	Leptuca	.	Uca inaequalis	Rathbun1935.1	Uneven Fiddler Crab	English|Uneven Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	.	3118951	739156	4382557
insignis	Uca	Acanthoplax	Acanthoplax insignis	MilneEdwards1852	Distinguished Fiddler Crab	English|Distinguished Fiddler Crab	El Salvador to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	659864	3119005	84905	4382527
intermedia	Uca	Uca	Uca intermedia	vonPrahl1985	Intermediate Fiddler Crab	English|Intermediate Fiddler Crab	Panama and Columbia	vonPrahl1985;Rosenberg2001	Eastern Pacific Realm	extant	53315	3119006	67460	4382506
inversa	Cranuca	.	Gelasimus inversus	Hoffmann1874	Inversed Fiddler Crab	English|Inversed Fiddler Crab;Malagasy|Cava tangena	east African coast, from South Africa to the Red Sea to the mouth of the Persian Gulf; Madagascar	Crane1975;Price1987;Naderloo2012;Apel1999;Poupin2018	Indo-West Pacific Realm	extant	285639	2981561	739157	4382490
