species	genus	subgenus	type	typeref	common	common(s)	range	rangecites	realm	status	NCBITaxonID	EOLID	iNaturalist	GBIF
osa	Minuca	.	Uca osa	Landstorfer2010	Osa Fiddler Crab	English|Osa Fiddler Crab	Costa Rica (Gulf of Dulce, Península de Osa)	Landstorfer2010	Eastern Pacific Realm	extant	660124	19662290	739170	5863494
panacea	Leptuca	.	Uca panacea	Novak1974	Gulf Coast Fiddler Crab	English|Gulf Coast Fiddler Crab;English|Gulf Sand Fiddler Crab	USA (Northwest Florida) to Mexico	Hopkins2010.2	Western Atlantic Realm	extant	53294	1039932	739171	2221542
panamensis	Petruca	.	Gelasimus panamensis	Stimpson1859	Rock Fiddler Crab	English|Rock Fiddler Crab;English|Panamanian Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	53305	3118958	739172	4382546
paradussumieri	Tubuca	Tubuca	Mesuca paradussumieri	Bott1973.2	Spined Fiddler Crab	English|Spined Fiddler Crab	China, Taiwan, Vietnam, Thailand, Malay Peninsula, western Indonesia	Crane1975;Shih2016;Shih2010.2	Indo-West Pacific Realm	extant	.	3119000	739173	4382499
perplexa	Austruca	Austruca	Gelasimus perplexus	MilneEdwards1852	Perplexing Fiddler Crab	English|Perplexing Fiddler Crab;Japanese|オキナワハクセンシオマネキ;Chinese|糾結招潮;English|Yellow-clawed Fiddler Crab	found throughout virtually the entirety of the central and western Pacific islands, between American Samoa to the east and the Andaman Islands along the eastern edge of the Indian Ocean to the west, including continental Malaysia, eastern Thailand, Cambodia, and possibly Vietnam; Taiwan; the Ryukyu Islands; eastern Australia	Shih2009;Naderloo2010;Barnes2010;Shih2010.2;Poupin2010.1	Indo-West Pacific Realm	extant	578100	3118988	1108898	4382492
polita	Tubuca	Australuca	Uca polita	Crane1975	Polished Fiddler Crab	English|Polished Fiddler Crab;English|Pink-clawed Fiddler Crab	Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	53285	3118934	739174	4382518
princeps	Uca	Uca	Gelasimus princeps	Smith1870.2	Princely Fiddler Crab	English|Princely FiddlerCrab;English|Greater Mexican Fiddler Crab	southern California (USA) to Peru	Crane1975;Brusca1980;Hendrickx1984;Rosenberg2018	Eastern Pacific Realm	extant	378832	4268408	67462	5863491
pugilator	Leptuca	.	Ocypoda pugilator	Bosc1802	Atlantic Sand Fiddler Crab	English|Atlantic Sand Fiddler Crab;English|Fever Crab;English|Calico Fiddler Crab;English|Gray Sand Fiddler Crab	Massachusetts to Florida (USA)	Hopkins2010.2	Western Atlantic Realm	extant	6772	347724	555968	2221551
pugnax	Minuca	.	Gelasimus pugnax	Smith1870.2	Atlantic Mud Fiddler Crab	English|Atlantic Mud Fiddler Crab;English|Atlantic Marsh Fiddler Crab	USA (New Hampshire to eastern Florida)	Hopkins2010.2;Johnson2014	Western Atlantic Realm	extant	53306	312786	555970	2221544
pygmaea	Leptuca	.	Uca pygmaea	Crane1941	Pygmy Fiddler Crab	English|Pygmy Fiddler Crab	southern Costa Rica to Colombia	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	.	3118959	739175	4382530
