province	lower left lat	lower left lon	upper right lat	upper right lon
Northern Australia	-18	129	-10.7	137.4
Northern Australia	-18	134.3	-13.3	142.2
Northern Australia	-26.8	112.7	-21.4	114.6
Northern Australia	-18.2	136.1	-11.2	142.2


Eastern Australia	-27.4	150	-24	154
Eastern Australia	-24.2	149	-22	152.2
Eastern Australia	-22.2	148	-20	150
Eastern Australia	-19	144.8	-13.6	147
Eastern Australia	-17.6	142.6	-10.4	145
Eastern Australia	-26	152.4	-24.6	154
Eastern Australia	-21	144.8	-18.3	149.6
Eastern Australia	-33.9	151	-27.3	154
