Species	Front breadth	Carapace color uniformity	Carapace color	H-groove color	Joint color	Shear-shaped claw	Style on major eye	Eyestalk color	Claw symmetry	Claw color uniformity	Claw color (uniform)	Major pollex pitting	Major dactyl color	Major pollex color	Major claw base color	Major claw base tubercles	Walking leg color	Tip of dactyl shape	Anterolateral angle shape	Anterolateral angle direction	Claw Speckles	Orbit Shape	Lateral margins of carapace angle	Dorsolateral margin of carapace length	Grooves on outer surface of major cheliped fingers
♀ Female {{dorotheae}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{dussumieri}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{ecuadoriensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{elegans}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{excisa}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{festae}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{flammula}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{forcipata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{formosensis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{galapagensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{helleri}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{herradurensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{hesperiae}}	1.1	2.?	3.?	4.?	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{heteropleura}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{hirsutimanus}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{inaequalis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{insignis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{intermedia}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{inversa}}	1.2	2.2	3.?	4.?	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{iranica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.2	25.?	26.?
♀ Female {{jocelynae}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{lactea}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{latimanus}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{leptodactyla}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{limicola}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{longidigitum}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{longisignalis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{major}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{maracoani}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{marguerita}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{minax}}	1.2	2.1	3.2	4.1	5.1	6.-	7.-	8.3	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{mjoebergi}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{monilifera}}	1.1	2.1	3.4	4.1	5.2	6.-	7.-	8.1	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{mordax}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{musica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{occidentalis}}	1.2	2.2	3.?	4.?	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.3	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{oerstedi}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{ornata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.1	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{osa}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{panacea}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{panamensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{paradussumieri}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{perplexa}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.2	21.3	22.-	23.?	24.?	25.1	26.1
♀ Female {{polita}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{princeps}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{pugilator}}	1.2	2.2	3.3	4.2	5.2	6.-	7.-	8.3	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{pugnax}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{pygmaea}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{rapax}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{rhizophorae}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{rosea}}	1.1	2.?	3.?	4.1	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.6	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{saltitanta}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{seismella}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{signata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{sindensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{speciosa}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{spinicarpa}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{splendida}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{stenodactylus}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{stylifera}}	1.1	2.1	3.8	4.1	5.2	6.-	7.-	8.1	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{subcylindrica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{tallanica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{tangeri}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{tenuipedis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{terpsichores}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{tetragonon}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{thayeri}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{tomentosa}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{triangularis}}	1.2	2.3	3.11	4.1	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.3	19.-	20.2	21.2	22.-	23.2	24.?	25.?	26.?
