Species	Front breadth	Carapace color uniformity	Carapace color	H-groove color	Joint color	Shear-shaped claw	Style on major eye	Eyestalk color	Claw symmetry	Claw color uniformity	Claw color (uniform)	Major pollex pitting	Major dactyl color	Major pollex color	Major claw base color	Major claw base tubercles	Walking leg color	Tip of dactyl shape	Anterolateral angle shape	Anterolateral angle direction	Claw Speckles	Orbit Shape	Lateral margins of carapace angle	Dorsolateral margin of carapace length	Grooves on outer surface of major cheliped fingers
♀ Female {{zacae}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♂ Male {{acuta}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{albimana}}	1.2	2.2	3.10	4.1	5.2	6.2	7.1	8.6	9.1	11.1	12.4	13.1	14.-	15.-	16.-	17.2	18.?	19.1	20.?	21.?	22.1	23.?	24.1	25.?	26.?
♂ Male {{alcocki}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{annulipes}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{arcuata}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{argillicola}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{batuenta}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{beebei}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{bellator}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{bengali}}	1.2	2.3	3.12	4.1	5.2	6.2	7.1	8.?	9.1	11.1	12.6	13.1	14.-	15.-	16.-	17.2	18.5	19.1	20.2	21.2	22.1	23.2	24.?	25.?	26.?
♂ Male {{boninensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{borealis}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{brevifrons}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{burgersi}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{capricornis}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{citrus}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.1	12.5	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.2	22.1	23.?	24.?	25.1	26.1
♂ Male {{chlorophthalmus}}	1.2	2.2	3.9	4.1	5.2	6.2	7.1	8.5	9.1	11.2	12.-	13.1	14.2	15.4	16.5	17.1	18.1	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{coarctata}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{coloradensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{crassipes}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{crenulata}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{cryptica}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{cumulanta}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{dampieri}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{deichmanni}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.1	12.4	13.1	14.-	15.-	16.-	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{demani}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{dorotheae}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{dussumieri}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{ecuadoriensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{elegans}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{excisa}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{festae}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{flammula}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{forcipata}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{formosensis}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{galapagensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{helleri}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{herradurensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{hesperiae}}	1.1	2.2	3.?	4.?	5.2	6.2	7.1	8.6	9.1	11.2	12.-	13.1	14.1	15.1	16.6	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{heteropleura}}	1.1	2.?	3.?	4.?	5.2	6.2	7.1	8.1	9.1	11.2	12.-	13.1	14.1	15.3	16.1	17.1	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{hirsutimanus}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{inaequalis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{insignis}}	1.1	2.?	3.?	4.?	5.2	6.1	7.1	8.?	9.1	11.?	12.?	13.2	14.?	15.?	16.?	17.1	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{intermedia}}	1.1	2.1	3.7	4.1	5.2	6.2	7.1	8.2	9.1	11.?	12.?	13.1	14.?	15.?	16.?	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{inversa}}	1.2	2.2	3.10	4.1	5.2	6.2	7.1	8.6	9.1	11.2	12.-	13.1	14.1	15.5	16.7	17.2	18.?	19.2	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{iranica}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.1	12.4	13.1	14.-	15.-	16.-	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.2	25.?	26.?
♂ Male {{jocelynae}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{lactea}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.1	12.4	13.1	14.-	15.-	16.-	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{latimanus}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{leptodactyla}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{limicola}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{longidigitum}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{longisignalis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{major}}	1.1	2.?	3.?	4.?	5.2	6.2	7.1	8.1	9.1	11.2	12.-	13.1	14.1	15.2	16.4	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{maracoani}}	1.1	2.?	3.?	4.?	5.2	6.1	7.1	8.1	9.1	11.1	12.1	13.2	14.-	15.-	16.-	17.1	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{marguerita}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{minax}}	1.2	2.1	3.2	4.1	5.1	6.2	7.1	8.3	9.1	11.1	12.2	13.1	14.-	15.-	16.-	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{mjoebergi}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.1	12.5	13.1	14.-	15.-	16.-	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{monilifera}}	1.1	2.1	3.4	4.1	5.2	6.2	7.1	8.1	9.1	11.1	12.3	13.1	14.-	15.-	16.-	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{mordax}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{musica}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{occidentalis}}	1.2	2.2	3.10	4.1	5.2	6.2	7.1	8.6	9.1	11.2	12.-	13.1	14.2	15.4	16.5	17.2	18.3	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{oerstedi}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{ornata}}	1.1	2.?	3.?	4.?	5.2	6.1	7.1	8.1	9.1	11.1	12.2	13.2	14.-	15.-	16.-	17.1	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{osa}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{panacea}}	1.2	2.2	3.3	4.3	5.2	6.2	7.1	8.3	9.1	11.1	12.2	13.1	14.-	15.-	16.-	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{panamensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{paradussumieri}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{perplexa}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.3	22.1	23.?	24.?	25.1	26.1
♂ Male {{polita}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{princeps}}	1.1	2.1	3.5	4.1	5.2	6.2	7.1	8.1	9.1	11.2	12.-	13.1	14.1	15.3	16.3	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{pugilator}}	1.2	2.2	3.3	4.2	5.2	6.2	7.1	8.3	9.1	11.1	12.2	13.1	14.-	15.-	16.-	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{pugnax}}	1.2	2.1	3.1	4.1	5.2	6.2	7.1	8.4	9.1	11.1	12.2	13.1	14.-	15.-	16.-	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{pygmaea}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{rapax}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{rhizophorae}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{rosea}}	1.1	2.?	3.?	4.1	5.2	6.2	7.1	8.?	9.1	11.2	12.-	13.1	14.3	15.4	16.9	17.1	18.6	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{saltitanta}}	1.2	2.1	3.5	4.?	5.2	6.2	7.1	8.1	9.1	11.1	12.4	13.1	14.-	15.-	16.-	17.2	18.4	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{seismella}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{signata}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{sindensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{speciosa}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{spinicarpa}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{splendida}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{stenodactylus}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{stylifera}}	1.1	2.1	3.5	4.1	5.2	6.2	7.2	8.1	9.1	11.2	12.-	13.1	14.1	15.1	16.2	17.1	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{subcylindrica}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{tallanica}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{tangeri}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.2	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{tenuipedis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{terpsichores}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.6	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{tetragonon}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{thayeri}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{tomentosa}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{triangularis}}	1.2	2.3	3.11	4.1	5.2	6.2	7.1	8.?	9.1	11.2	12.-	13.1	14.1	15.1	16.8	17.2	18.3	19.1	20.2	21.2	22.2	23.2	24.?	25.?	26.?
♂ Male {{typhoni}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{umbratila}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{uruguayensis}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{urvillei}}	1.1	2.1	3.1	4.1	5.2	6.2	7.1	8.5	9.1	11.2	12.-	13.1	14.1	15.3	16.1	17.1	18.2	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{variegata}}	1.2	2.2	3.9	4.1	5.2	6.2	7.1	8.1	9.1	11.1	12.5	13.1	14.-	15.-	16.-	17.2	18.3	19.1	20.1	21.1	22.1	23.1	24.?	25.?	26.?
♂ Male {{victoriana}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{virens}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{vocans}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{vocator}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.?	23.?	24.?	25.?	26.?
♂ Male {{vomeris}}	1.1	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.2	12.-	13.?	14.?	15.?	16.?	17.?	18.?	19.1	20.?	21.?	22.1	23.?	24.?	25.?	26.?
♂ Male {{zacae}}	1.2	2.?	3.?	4.?	5.?	6.2	7.1	8.?	9.1	11.?	12.?	13.?	14.?	15.?	16.?	17.?	18.?	19.?	20.?	21.?	22.?	23.?	24.?	25.?	26.?
