									Carapace Width				
Reference(s)	Location	ID	Species	Sex	Notes	Use	Type	n	val/mean	min	max	sd	se
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	13.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	13.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	26.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	28.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	25	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	24.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	23.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	22.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	12.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	13.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	18	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	18.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	20.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	21.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	19.1	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	17.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	13.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	13.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	12.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	12.7	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.2	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	14.6	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.5	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.8	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16.3	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	16.9	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2a	.	individual	.	15.4	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
Jaroensutasinee2002	Pak Meng Beach, Trang, Thailand	.	hesperiae	male	digitized from figure 2b	.	individual	.	.	.	.	.	.
