Reference(s)	Species	Total	Right	Left	% Right	% Left	Note
Barnwell1982	dampieri	33	32	1	0.970	0.030	.
Barnwell1982	dampieri	1	1	0	1.000	0.000	.
Barnwell1982	borealis	4	4	0	1.000	0.000	.
Barnwell1982	borealis	3	3	0	1.000	0.000	.
Barnwell1982	borealis	38	35	3	0.921	0.079	.
Barnwell1982	borealis	1	1	0	1.000	0.000	.
Barnwell1982	borealis	78	75	3	0.962	0.038	.
Barnwell1982	#subgenus#Gelasimus	4	4	0	1.000	0.000	Author is unsure if thse are {{hesperiae}} or {{vocans}
Barnwell1982	#subgenus#Gelasimus	7	7	0	1.000	0.000	Author is unsure if thse are {{hesperiae}} or {{vocans}
Barnwell1982	#subgenus#Gelasimus	28	28	0	1.000	0.000	Author is unsure if thse are {{hesperiae}} or {{vocans}
Barnwell1982	#subgenus#Gelasimus	7	5	2	0.714	0.286	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	2	2	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	1	1	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	1	1	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	36	36	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	1	1	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	15	15	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	1	1	0	1.000	0.000	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	263	257	6	0.977	0.023	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	28	27	1	0.964	0.036	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	#subgenus#Gelasimus	89	84	5	0.944	0.056	Author is unsure if thse are {{vocans}} or {{jocelynae}
Barnwell1982	tetragonon	23	23	0	1.000	0.000	.
Barnwell1982	tetragonon	39	38	1	0.974	0.026	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	52	51	1	0.981	0.019	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	1	0	1	0.000	1.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	20	20	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	1	0	1	0.000	1.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	3	3	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	9	9	0	1.000	0.000	.
Barnwell1982	tetragonon	8	8	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
Barnwell1982	tetragonon	1	1	0	1.000	0.000	.
Barnwell1982	tetragonon	2	2	0	1.000	0.000	.
