species	#	caption
demani	1	"Photo from Barnes (2010), Figure 1."
demani	2	"Photo from Shih <em>et al.</em> (2010), Figure 4."
demani	3	"Photo from Shih <em>et al.</em> (2010), Figure 4."
demani	4	"Photo from Shih <em>et al.</em> (2010), Figure 4."
dussumieri	2	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
dussumieri	3	This photo was originally obtained from a webpage which no longer appears to exist.
dussumieri	4	This photo was originally obtained from a webpage which no longer appears to exist.
dussumieri	5	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
dussumieri	6	"Sulawesi, Indonesia. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
dussumieri	7	"Photo from Barnes (2010), Figure 1."
ecuadoriensis	1	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
ecuadoriensis	2	"Photo by Chris Lukhaup. Ecuador. Most likely <em class=""species"">Uca ecuadoriensis.</em>"
ecuadoriensis	3	"Photo by Chris Lukhaup. Ecuador. Most likely <em class=""species"">Uca ecuadoriensis.</em>"
ecuadoriensis	7	Zoeae. Photo by Hans-Georg Rupp.
ecuadoriensis	8	Zoeae. Photo by Hans-Georg Rupp.
ecuadoriensis	9	Megalopae. Photo by Hans-Georg Rupp.
ecuadoriensis	10	Very early stage crab. Photo by Hans-Georg Rupp.
elegans	1	Photo from George &amp; Jones (1982).
festae	1	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
festae	2	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
festae	3	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
flammula	1	Photo from George &amp; Jones (1982).
flammula	2	Photo from George &amp; Jones (1982).
flammula	3	Juvenile male. Labeled as <em>Uca capricornis</em>. Photo from George &amp; Jones (1982).
flammula	4	"Photo originally obtained from the <a href=""http://museum.wa.gov.au"">Western Australian Museum</a> website."
forcipata	1	This photo was originally obtained from a webpage which no longer appears to exist.
forcipata	2	Photo by Chris Lukhaup.
forcipata	3	Photo by Chris Lukhaup.
formosensis	1	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	2	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	3	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	4	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	5	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	6	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	7	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	9	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
formosensis	10	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
formosensis	11	This photo was originally obtained from a webpage which no longer appears to exist.
hamlini	1	"Image from Rathbun (1926), Plate 8, figure 1."
helleri	1	Original source of this photo is unknown.
herradurensis	1	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
hesperiae	1	This photo was originally obtained from a webpage which no longer appears to exist.
hesperiae	2	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
hesperiae	3	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
hesperiae	4	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
hesperiae	5	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
hesperiae	6	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
heteropleura	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
heteropleura	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
heteropleura	3	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
hirsutimanus	1	Photo from George &amp; Jones (1982).
inaequalis	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
inaequalis	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
intermedia	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
intermedia	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
inversa	1	This photo was originally obtained from a webpage which no longer appears to exist.
inversa	2	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
inversa	3	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
inversa	4	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
iranica	1	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
iranica	2	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
iranica	3	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
iranica	4	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
jocelynae	1	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	2	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	3	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	4	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	5	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	6	"Photo from Shih <em>et al.</em> (2010), Figure 2."
jocelynae	7	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	8	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	9	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	10	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	11	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	12	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	13	"Photo from Shih <em>et al.</em> (2010), Figure 4."
jocelynae	14	"Photo from Shih <em>et al.</em> (2010), Figure 4."
lactea	1	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
lactea	2	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
lactea	3	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
lactea	4	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
lactea	5	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
lactea	6	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	7	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	8	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
lactea	10	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	11	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	12	This photo was originally obtained from a webpage which no longer appears to exist.
leptodactyla	1	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
leptodactyla	2	"Photo from Araujo <em>et al.</em> (2013), Figure 1."
leptodactyla	3	"Photo from Araujo <em>et al.</em> (2013), Figure 1."
leptodactyla	4	"Photo from Araujo <em>et al.</em> (2013), Figure 1."
longidigitum	1	Photo from George &amp; Jones (1982).
longisignalis	1	Photo by Rebecca Chiasson.
longisignalis	2	Photo originally obtained from a Texas state government website.
maracoani	1	Original source of this photo is unknown.
maracoani	2	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
minax	1	Original source of this photo is unknown.
minax	2	Original source of this photo is unknown.
minax	3	Florida. Photo by Chris Lukhaup.
minax	4	"Photo originally obtained from <a href=""http://www.sojournsinnature.com/index.php"">Sojourns in Nature</a>."
minax	6	Original source of this photo is unknown.
minax	7	Florida. Photo by Chris Lukhaup.
miocenica	1	"Photo originally obtained from <a href=""http://www.mbfossilcrabs.com/"">MBFossilcrabs</a>. Used with permission."
mjoebergi	1	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
mjoebergi	2	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
mjoebergi	3	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
mjoebergi	4	Photo by Chris Lukhaup.
mjoebergi	5	Photo by Chris Lukhaup.
mjoebergi	6	Photo by Chris Lukhaup.
mjoebergi	7	Photo from Backwell &amp; Jennions (2004).
mjoebergi	8	"Photo from Barnes (2010), Figure 1."
monilifera	1	"Photo by Elliot Norse. I believe this is <em class=""species"">Uca monolifera.</em"
mordax	1	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
neocultrimana	1	"Holotype of <em class=""species"">Mesuca (Latuca) neocultrimana</em> Bott, 1973 (SMF-5645). Photo from Shih <em>et al.</em> (2010), Figure 5."
neocultrimana	2	"Holotype of <em class=""species"">Mesuca (Latuca) neocultrimana</em> Bott, 1973 (SMF-5645). Photo from Shih <em>et al.</em> (2010), Figure 5."
neocultrimana	3	"Holotype of <em class=""species"">Uca (Thalassuca) vocans pacificensis</em> Crane, 1975 (USNM 137670). Photo from Shih <em>et al.</em> (2010), Figure 5."
neocultrimana	4	"Holotype of <em class=""species"">Uca (Thalassuca) vocans pacificensis</em> Crane, 1975 (USNM 137670). Photo from Shih <em>et al.</em> (2010), Figure 5."
neocultrimana	5	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
neocultrimana	6	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
oerstedi	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
oerstedi	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
oerstedi;batuenta;saltitanta;inaequalis	1	"Four species are in this photo, which covers only a few inches of space. On the far left, seen from behind, is <em class=""species"">Uca batuenta.</em> To it's right, seen mostly from the side is <em class=""species"">U. inaequalis.</em> The large crab on the right is <em class=""species"">U. oerstedi.</em> The smaller crab with the white claw, just to the left and behind him is <em class=""species"">U. saltitanta.</em> Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
oldroydi	1	"Image from Rathbun (1926), Plate 7, figure 1."
oldroydi	2	"Image from Rathbun (1926), Plate 7, figure 2."
ornata	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
ornata	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
ornata	3	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
ornata	4	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
osa	1	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
osa	2	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
osa	3	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
osa	4	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
osa	5	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
osa	6	"Photo from Landstorfer &amp; Schubart (2010), Figure 3."
panacea	1	"Redfish Bay, TX. Photo by M. Wicksten."
panacea	2	"Redfish Bay, TX. Photo by M. Wicksten."
panamensis	1	"Photo by P.R.Y. Backwell, Naos, Panama City, Panama."
panamensis	2	"Photo by P.R.Y. Backwell, Naos, Panama City, Panama."
paradussumieri	1	"Photo originally obtained from <a href=""http://mangrove.nus.edu.sg/"">Guide to the Mangroves of Singipore</a>."
paradussumieri	2	"Photo originally obtained from <a href=""http://mangrove.nus.edu.sg/"">Guide to the Mangroves of Singipore</a>."
paradussumieri	3	Thailand. Photos by Rueangrit Promdam.
paradussumieri	4	Thailand. Photos by Rueangrit Promdam.
paradussumieri	5	"Photo from Shih <em>et al.</em> (2010), Figure 3."
paradussumieri	6	"Photo from Shih <em>et al.</em> (2010), Figure 3."
paradussumieri	7	"Photo from Shih <em>et al.</em> (2010), Figure 3."
paradussumieri	8	"Photo from Shih <em>et al.</em> (2010), Figure 3."
perplexa	1	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
perplexa	2	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
perplexa	3	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
perplexa	4	"Photo from Naderloo <em>et al.</em> (2010), Figure 18."
perplexa	5	"Photo by Chris Lukhaup. Philippines. I think this is <em class=""species"">Uca perplexa.</em>"
perplexa	6	"Photo by Chris Lukhaup. Philippines. I think this is <em class=""species"">Uca perplexa.</em>"
perplexa	7	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
perplexa	8	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
perplexa	9	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
perplexa	10	"Fiji. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
perplexa	11	"Photo from Barnes (2010), Figure 1."
polita	1	Photo from George &amp; Jones (1982).
princeps	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
princeps	2	Photo from Kerstitch (1989).
princeps	3	Photo by Ernesto Campos.
pugilator	2	This photo was originally obtained from a webpage at Francis Marion University which no longer appears to exist.
pugilator	3	This photo was originally obtained from a webpage which no longer appears to exist.
pugilator	4	This photo was originally obtained from a webpage which no longer appears to exist.
pugilator	5	This photo was originally obtained from a webpage which no longer appears to exist.
pugilator	6	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	7	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	8	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	9	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	10	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	11	"Male ammong rocks. Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	12	"Female among rocks. Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugilator	14	This photo was originally obtained from a webpage which no longer appears to exist.
pugilator	17	Photo by Chris Lukhaup. Florida.
pugilator	18	Photo by Chris Lukhaup. Florida.
pugilator	19	Eight week old crabs. Photo by Hans-Georg Rupp.
pugilator	20	Eight week old crabs. Photo by Hans-Georg Rupp.
pugilator	21	Eight week old crabs. Photo by Hans-Georg Rupp.
pugnax	3	"Photo by M.S. Rosenberg, Flax Pond, Long Island, New York."
pugnax	4	This photo was originally obtained from a webpage which no longer appears to exist.
pugnax	5	Florida. Photo by Chris Lukhaup.
rapax	1	"Galveston, TX. Photo by M. Wicksten."
rapax	2	Florida. Photo by Chris Lukhaup.
rapax	3	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
rapax	10	Gravid female. Photo by Hans-Georg Rupp.
rapax	11	Gravid female. Photo by Hans-Georg Rupp.
rosea	1	This photo was originally obtained from a webpage which no longer appears to exist.
saltitanta	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
saltitanta	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
saltitanta	3	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
seismella	1	Photo from George &amp; Jones (1982).
seismella	2	Photo from George &amp; Jones (1982).
signata	1	Photo from George &amp; Jones (1982).
speciosa	1	Florida. Photo by Chris Lukhaup.
spinicarpa	1	"Galveston, TX. Photo by M. Wicksten."
splendida	1	"Photo from Shih <em>et al.</em> (2012), Figure 3."
splendida	2	"Photo from Shih <em>et al.</em> (2012), Figure 3."
splendida	3	"Photo from Shih <em>et al.</em> (2012), Figure 3."
splendida	4	"Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	5	"Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	6	"Female. Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	7	"Female. Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	8	"Female. Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	9	"Juvenile. Photo from Shih <em>et al.</em> (2012), Figure 4."
splendida	10	"Photo from Shih <em>et al.</em> (2013), Figure 7."
splendida	11	"Photo from Shih <em>et al.</em> (2013), Figure 7."
splendida	12	"Photo from Shih <em>et al.</em> (2013), Figure 7."
stenodactylus	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
stenodactylus	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
stenodactylus	3	"Photo originally obtained from the <a href=""http://www.stri.org"">Smithsonian Tropical Research Institute</a> website."
stenodactylus	4	"Photo originally obtained from the <a href=""http://www.stri.org"">Smithsonian Tropical Research Institute</a> website."
stylifera	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
stylifera	2	"Male (white and colorful) and female (brown, partly hidden behind male). Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
subcylindrica	1	"Matamoros, Mexico. Photo by Chris Lukhaup."
tangeri	1	Southern Portugal. Photo by Pedro Brito.
tangeri	2	Southern Portugal. Photo by Pedro Brito.
tangeri	3	Photo by Birgit Wolfrath.
tangeri	4	Photo by Birgit Wolfrath.
tangeri	5	Photo by Birgit Wolfrath.
