Individuals
Reference	Sex	Width	Notes
Crane1975	female	19.6	
Crane1975	male	20	
Crane1975	male	21	
Crane1975	male	22	
Crane1975	male	22.1	
Rosenberg2000	male	20.6	
Rosenberg2000	male	20.8	
Rosenberg2000	male	20.3	
Rosenberg2000	male	21.7	
Rosenberg2000	male	19.05	
Rosenberg2000	male	14.2	
Rosenberg2000	male	19.65	
Rosenberg2000	male	20.4	

