Individuals
Reference	Sex	Width	Notes
Crane1975	female	13	
Crane1975	male	28	
Crane1975	male	41	
Rosenberg2000	male	23.65	
Rosenberg2000	male	17.55	
Rosenberg2000	male	20.2	
Shih2010.2	male	16.7	
Shih2010.2	male	20.54	
Shih2010.2	female	17.92	
Shih2010.2	male	19.09	
Shih2010.2	male	27.45	
Shih2010.2	male	28.04	
Shih2010.2	female	22.54	
Shih2010.2	female	26.53	

