Individuals
Reference	Sex	Width	Notes
Crane1975	male	16	
Crane1975	male	18.5	
Crane1975	female	20	
Rosenberg2000	male	18.55	
Rosenberg2000	male	18.4	
Rosenberg2000	male	21.1	
Rosenberg2000	male	16.7	
Rosenberg2000	male	16.9	
Rosenberg2000	male	13.8	
Rosenberg2000	male	17.3	
Rosenberg2000	male	14.8	
Rosenberg2000	male	16.15	
Rosenberg2000	male	13.25	
Rosenberg2000	male	15.85	
Rosenberg2000	male	18.35	
Rosenberg2000	male	14.7	

