Individuals
Reference	Sex	Width	Notes
Crane1975	female	25	
Crane1975	male	27.6	
Crane1975	female	28.5	
Crane1975	male	28.8	
Rosenberg2000	male	22.6	
Shih2015.2	male	33.1	
Shih2015.2	female	14.2	
Shih2015.2	male	26.2	
Shih2015.2	male	33	
Shih2015.2	male	29.6	
Shih2015.2	male	27.9	
Shih2015.2	female	32.2	
Shih2015.2	male	31.8	
Shih2015.2	male	28.8	
Shih2015.2	male	27.6	

