Individuals
Reference	Sex	Width	Notes
Crane1975	female	21.5	
Crane1975	male	22.5	
Crane1975	male	25	
Rosenberg2000	male	24.85	
Rosenberg2000	male	17.4	
Rosenberg2000	male	18.45	
Rosenberg2000	male	16	
Rosenberg2000	male	19.7	
Rosenberg2000	male	19.6	
Rosenberg2000	male	14.65	
Shih2015.2	male	22.5	

